episode,episode_steps,highest_score,max_tile
763,240,2548.0,256.0
764,459,3080.0,256.0
765,479,3228.0,256.0
766,513,4668.0,512.0
767,282,2372.0,256.0
768,456,5300.0,512.0
769,614,7312.0,512.0
770,460,6172.0,512.0
771,707,6928.0,512.0
772,493,5216.0,512.0
773,161,1120.0,128.0
774,270,3000.0,256.0
775,365,4832.0,512.0
776,325,2952.0,256.0
777,392,3200.0,256.0
778,379,4060.0,256.0
779,328,4700.0,512.0
780,398,5256.0,512.0
781,452,3672.0,256.0
782,411,2476.0,256.0
783,599,1460.0,128.0
784,357,4544.0,512.0
785,567,6416.0,512.0
786,379,3136.0,256.0
787,236,3012.0,256.0
788,194,1368.0,128.0
789,474,5244.0,512.0
790,316,3100.0,256.0
791,215,2308.0,256.0
792,259,2880.0,256.0
793,276,3120.0,256.0
794,218,2088.0,128.0
795,392,2280.0,128.0
796,412,5216.0,512.0
797,569,6876.0,512.0
798,313,3140.0,256.0
799,455,6036.0,512.0
800,161,1624.0,128.0
801,466,5536.0,512.0
802,444,5224.0,512.0
803,204,2332.0,256.0
804,234,2612.0,256.0
805,377,5008.0,512.0
806,263,2976.0,256.0
807,153,1448.0,128.0
808,249,2644.0,256.0
809,676,7284.0,512.0
810,312,2336.0,256.0
811,180,1852.0,256.0
812,272,1672.0,128.0
813,282,2216.0,256.0
814,501,5532.0,512.0
815,534,5332.0,512.0
816,472,2984.0,256.0
817,216,1980.0,128.0
818,825,7092.0,512.0
819,523,3708.0,256.0
820,337,3188.0,256.0
821,183,1468.0,128.0
822,306,3372.0,256.0
823,757,6908.0,512.0
824,294,2920.0,256.0
825,546,6216.0,512.0
826,199,2336.0,256.0
827,132,1244.0,128.0
828,393,4888.0,512.0
829,280,3004.0,256.0
830,348,3024.0,256.0
831,339,4788.0,512.0
832,249,3048.0,256.0
833,238,3072.0,256.0
834,351,3628.0,256.0
835,352,4824.0,512.0
836,295,3520.0,256.0
837,580,6256.0,512.0
838,547,5016.0,512.0
839,678,5912.0,512.0
840,409,3152.0,256.0
841,271,2948.0,256.0
842,773,7320.0,512.0
843,285,2968.0,256.0
844,249,2648.0,256.0
845,446,5560.0,512.0
846,538,6636.0,512.0
847,367,4908.0,512.0
848,435,5220.0,512.0
849,387,5088.0,512.0
850,260,2876.0,256.0
851,304,3116.0,256.0
852,324,3404.0,256.0
853,527,6848.0,512.0
854,512,6688.0,512.0
855,345,4944.0,512.0
856,434,6132.0,512.0
857,220,1328.0,128.0
858,515,6776.0,512.0
859,276,3320.0,256.0
860,703,10860.0,1024.0
861,312,2952.0,256.0
862,309,3036.0,256.0
863,224,2872.0,256.0
864,173,1936.0,128.0
865,418,3316.0,256.0
866,267,3088.0,256.0
867,500,5136.0,512.0
868,501,6644.0,512.0
869,211,2052.0,128.0
870,477,5272.0,512.0
871,343,3332.0,256.0
872,427,3692.0,256.0
873,326,3132.0,256.0
874,580,6252.0,512.0
875,264,3200.0,256.0
876,360,3964.0,256.0
877,606,4920.0,512.0
878,355,3352.0,256.0
879,784,11288.0,1024.0
880,175,1420.0,128.0
881,342,4492.0,512.0
882,236,3012.0,256.0
883,622,6608.0,512.0
884,631,7200.0,512.0
885,539,6408.0,512.0
886,386,5324.0,512.0
887,511,5512.0,512.0
888,136,1208.0,128.0
889,430,6548.0,512.0
890,308,3204.0,256.0
891,483,5800.0,512.0
892,320,3124.0,256.0
893,427,6188.0,512.0
894,193,1648.0,128.0
895,256,3092.0,256.0
896,388,3696.0,256.0
897,127,1120.0,128.0
898,292,3544.0,256.0
899,313,2300.0,256.0
900,566,6668.0,512.0
901,608,7152.0,512.0
902,197,2352.0,256.0
903,432,5180.0,512.0
904,555,4836.0,512.0
905,417,5036.0,512.0
906,332,3096.0,256.0
907,595,6692.0,512.0
908,513,5304.0,512.0
909,592,6628.0,512.0
910,370,3104.0,256.0
911,773,6836.0,512.0
912,545,5676.0,512.0
913,591,6900.0,512.0
914,355,3888.0,256.0
915,206,2348.0,256.0
916,228,2704.0,256.0
917,293,3288.0,256.0
918,125,1276.0,128.0
919,518,5240.0,512.0
920,336,3080.0,256.0
921,382,3672.0,256.0
922,270,2400.0,128.0
923,234,2252.0,256.0
924,229,1688.0,128.0
925,451,6292.0,512.0
926,411,5204.0,512.0
927,277,2688.0,256.0
928,351,1440.0,128.0
929,246,2068.0,128.0
930,441,6148.0,512.0
931,476,5208.0,512.0
932,448,5192.0,512.0
